Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0530        -329.5924    -331.0622       1.4697   214.5
0.0535        -329.6111    -331.1254       1.5143   221.0
0.0540        -329.6022    -331.1845       1.5823   231.0
0.0545        -329.6136    -331.2219       1.6083   234.8
0.0550        -329.5568    -331.2200       1.6632   242.8
0.0555        -329.5399    -331.1722       1.6324   238.3
0.0560        -329.5295    -331.0850       1.5555   227.0
0.0565        -329.5656    -330.9888       1.4232   207.7
0.0570        -329.5548    -330.9167       1.3619   198.8
0.0575        -329.5721    -330.8934       1.3213   192.9
0.0580        -329.5722    -330.9304       1.3581   198.2
0.0585        -329.5298    -331.0207       1.4909   217.6
0.0590        -329.5459    -331.1297       1.5839   231.2
0.0595        -329.5208    -331.2264       1.7056   249.0
0.0600        -329.4693    -331.2779       1.8087   264.0
0.0605        -329.4499    -331.2648       1.8149   264.9
0.0610        -329.5026    -331.1947       1.6921   247.0
0.0615        -329.4518    -331.0986       1.6468   240.4
0.0620        -329.4644    -331.0112       1.5468   225.8
0.0625        -329.4478    -330.9588       1.5110   220.6
0.0630        -329.4454    -330.9583       1.5129   220.8
0.0635        -329.4125    -330.9988       1.5864   231.6
0.0640        -329.4351    -331.0624       1.6273   237.5
0.0645        -329.4121    -331.1287       1.7166   250.6
0.0650        -329.3693    -331.1748       1.8055   263.5
0.0655        -329.3532    -331.1886       1.8354   267.9
0.0660        -329.3062    -331.1558       1.8496   270.0
0.0665        -329.2799    -331.0804       1.8005   262.8
0.0670        -329.2908    -330.9796       1.6888   246.5
0.0675        -329.2761    -330.8860       1.6099   235.0
0.0680        -329.2776    -330.8254       1.5478   225.9
0.0685        -329.2675    -330.8069       1.5394   224.7
0.0690        -329.2921    -330.8365       1.5444   225.4
0.0695        -329.2823    -330.8992       1.6169   236.0
0.0700        -329.2803    -330.9864       1.7061   249.0
0.0705        -329.3215    -331.0661       1.7446   254.7
0.0710        -329.3465    -331.1172       1.7707   258.5
0.0715        -329.3797    -331.1271       1.7473   255.1
0.0720        -329.3331    -331.0900       1.7568   256.4
0.0725        -329.3250    -331.0167       1.6917   246.9
0.0730        -329.3275    -330.9362       1.6087   234.8
0.0735        -329.2910    -330.8675       1.5765   230.1
0.0740        -329.2417    -330.8277       1.5860   231.5
0.0745        -329.2698    -330.8235       1.5537   226.8
0.0750        -329.2460    -330.8585       1.6126   235.4
0.0755        -329.2522    -330.9113       1.6591   242.2
0.0760        -329.2004    -330.9622       1.7618   257.2
0.0765        -329.2263    -330.9856       1.7592   256.8
0.0770        -329.2569    -330.9656       1.7088   249.4
